,Action,Adventure,Fantasy,Comedy,Drama,Animation,Romance,War,Crime,Family,Sci-Fi,Biography,Thriller,Music,Horror,Mystery,History,Western,Sport,Musical,Film-Noir
Action,0,604,267,309,369,27,88,52,345,131,18,17,51,241,0,20,12,29,0,11,2
Adventure,604,0,399,82,235,8,32,27,37,148,9,23,235,158,4,124,3,21,1,11,1
Fantasy,267,399,0,33,577,8,85,34,218,132,10,408,170,48,65,143,36,45,26,5,2
Comedy,309,82,33,0,330,10,209,180,236,11,5,22,0,70,1,0,0,8,0,4,0
Drama,369,235,577,330,0,141,174,297,554,153,67,529,36,107,101,75,70,341,35,35,3
Animation,27,8,8,10,141,0,0,0,6,1,6,4,0,0,0,1,1,66,2,0,1
Romance,88,32,85,209,174,0,0,214,40,87,0,7,0,102,3,0,0,0,4,3,0
War,52,27,34,180,297,0,214,0,144,25,1,25,1,59,2,0,0,1,0,1,1
Crime,345,37,218,236,554,6,40,144,0,12,0,28,3,13,7,2,3,81,5,2,1
Family,131,148,132,11,153,1,87,25,12,0,1,39,15,6,4,70,0,2,3,0,0
Sci-Fi,18,9,10,5,67,6,0,1,0,1,0,11,1,0,0,0,0,5,0,1,1
Biography,17,23,408,22,529,4,7,25,28,39,11,0,0,25,29,14,12,24,18,5,0
Thriller,51,235,170,0,36,0,0,1,3,15,1,0,0,1,0,30,0,2,0,0,1
Music,241,158,48,70,107,0,102,59,13,6,0,25,1,0,0,4,1,0,1,0,0
Horror,0,4,65,1,101,0,3,2,7,4,0,29,0,0,0,3,0,20,7,0,2
Mystery,20,124,143,0,75,1,0,0,2,70,0,14,30,4,3,0,5,8,6,0,0
History,12,3,36,0,70,1,0,0,3,0,0,12,0,1,0,5,0,23,0,0,1
Western,29,21,45,8,341,66,0,1,81,2,5,24,2,0,20,8,23,0,3,1,5
Sport,0,1,26,0,35,2,4,0,5,3,0,18,0,1,7,6,0,3,0,0,0
Musical,11,11,5,4,35,0,3,1,2,0,1,5,0,0,0,0,0,1,0,0,0
Film-Noir,2,1,2,0,3,1,0,1,1,0,1,0,1,0,2,0,1,5,0,0,0
