,Word,Count
0,Man,94
1,Last,47
2,Love,39
3,Dead,37
4,Girl,37
5,Night,36
6,World,34
7,Black,33
8,Day,32
9,House,31
10,Life,29
11,Star,29
12,One,29
13,Good,26
14,Story,25
15,American,25
16,Part,25
17,Red,25
18,Dark,23
19,King,23
20,Little,23
21,Big,22
22,City,22
23,War,21
24,Bad,21
25,Time,21
26,Evil,20
27,Lost,20
28,Wild,19
29,Mr,19
30,Blue,19
31,First,18
32,Home,18
33,Boy,18
34,Secret,18
35,New,18
36,Three,17
37,Death,17
38,Dragon,17
39,Wedding,17
40,Fire,17
41,Street,17
42,White,16
43,Die,16
44,Run,15
45,Game,15
46,High,15
47,Kill,15
48,Way,15
49,Two,15
50,Woman,15
51,Never,14
52,Great,14
53,Age,14
54,Legend,13
55,Baby,13
56,Ghost,13
57,Friday,13
58,Summer,13
59,Back,13
60,Harry,12
61,Space,12
62,Go,12
63,Trek,12
64,Devil,12
65,Spy,12
66,Final,12
67,Blood,12
68,Girls,12
69,Ice,12
70,Midnight,12
71,Next,12
72,Perfect,12
73,Lady,12
74,Kid,12
75,Hard,11
76,Hot,11
77,End,11
78,Dawn,11
79,Road,11
80,Escape,11
81,Murder,11
82,Train,11
83,Old,10
84,Green,10
85,Batman,10
86,Fantastic,10
87,Seven,10
88,Best,10
89,Sky,10
90,Island,10
91,Hotel,10
92,Moon,10
93,Earth,10
94,Year,10
95,Return,10
96,Episode,9
97,Four,9
98,Dog,9
99,Book,9
100,Family,9
101,Fear,9
102,Now,9
103,Witch,9
104,SpiderMan,9
105,Live,9
106,Queen,9
107,Heaven,9
108,Sea,9
109,Young,9
110,Heart,9
111,School,9
112,Beauty,9
113,Wolf,8
114,TRUE,8
115,Adventures,8
116,Just,8
117,Alive,8
118,Diary,8
119,Captain,8
120,Name,8
121,Iron,8
122,Knight,8
123,Planet,8
124,Double,8
125,Rise,8
126,People,8
127,Christmas,8
128,Tale,8
129,Living,8
130,Away,8
131,Hood,8
132,Potter,8
133,Mad,8
134,Mission,8
135,America,8
136,Things,8
137,Prince,8
138,Games,8
139,Fast,8
140,John,8
141,Get,8
142,Monsters,8
143,Gone,8
144,Hour,8
145,Gun,8
146,Brothers,8
147,Jack,8
148,Massacre,7
149,Body,7
150,Castle,7
151,Chapter,7
152,Children,7
153,Meet,7
154,Party,7
155,Blade,7
156,National,7
157,Miss,7
158,Holmes,7
159,Thief,7
160,Real,7
161,Forever,7
162,Furious,7
163,Quiet,7
164,Impossible,7
165,Saw,7
166,Hunter,7
167,Golden,7
168,Sex,7
169,Room,7
170,Halloween,7
171,Rocky,7
172,Rock,7
173,Robin,7
174,Hell,7
175,Force,7
176,Princess,7
177,Texas,7
178,Killer,7
179,Cop,7
180,Crazy,7
181,Like,7
182,Let,7
183,League,7
184,Deep,7
185,Stand,7
186,Fallen,7
187,Jungle,7
188,Hills,7
189,Empire,7
190,Joe,7
191,Express,7
192,West,7
193,Eye,7
194,Angels,7
195,Years,7
196,Wind,7
197,Battle,6
198,Beautiful,6
199,Justice,6
