year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1931,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1933,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1934,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1937,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1938,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1939,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1940,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1941,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1942,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1944,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1946,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1948,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1950,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
1953,1.0,2.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0
1954,0.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0
1955,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1956,0.0,3.0,0.0,1.0,2.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
1957,0.0,1.0,0.0,1.0,1.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0
1958,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
1959,1.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1960,1.0,4.0,0.0,3.0,3.0,2.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
1961,2.0,2.0,1.0,0.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
1962,2.0,1.0,0.0,1.0,2.0,2.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0
1963,3.0,5.0,1.0,1.0,4.0,2.0,0.0,6.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
1964,2.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1965,2.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1966,3.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0
1967,3.0,3.0,1.0,1.0,6.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0
1968,2.0,5.0,0.0,1.0,2.0,2.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0
1969,3.0,4.0,0.0,1.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
1970,1.0,3.0,1.0,1.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0
1971,4.0,3.0,1.0,1.0,3.0,5.0,0.0,14.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,7.0,1.0,2.0
1972,3.0,4.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0
1973,8.0,4.0,1.0,3.0,8.0,12.0,0.0,16.0,0.0,1.0,0.0,1.0,4.0,1.0,5.0,1.0,2.0,0.0,0.0,5.0,0.0,2.0
1974,7.0,2.0,0.0,0.0,5.0,8.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0
1975,3.0,3.0,0.0,2.0,4.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,3.0,0.0,1.0,4.0,2.0,0.0
1976,3.0,1.0,0.0,0.0,3.0,6.0,0.0,13.0,2.0,0.0,0.0,3.0,5.0,1.0,4.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0
1977,4.0,8.0,2.0,0.0,7.0,1.0,0.0,8.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0
1978,6.0,6.0,1.0,1.0,7.0,3.0,0.0,9.0,1.0,1.0,0.0,0.0,7.0,2.0,3.0,3.0,5.0,0.0,1.0,6.0,1.0,0.0
1979,6.0,5.0,0.0,1.0,8.0,6.0,0.0,16.0,1.0,0.0,0.0,0.0,5.0,4.0,2.0,3.0,8.0,0.0,2.0,2.0,2.0,0.0
1980,6.0,10.0,0.0,1.0,11.0,7.0,0.0,16.0,2.0,3.0,0.0,0.0,6.0,3.0,6.0,5.0,5.0,0.0,2.0,5.0,1.0,2.0
1981,7.0,12.0,2.0,3.0,11.0,3.0,0.0,17.0,1.0,3.0,0.0,2.0,8.0,1.0,3.0,4.0,3.0,0.0,2.0,5.0,2.0,0.0
1982,8.0,10.0,2.0,1.0,14.0,5.0,0.0,21.0,2.0,6.0,0.0,1.0,9.0,4.0,4.0,7.0,8.0,0.0,1.0,5.0,1.0,0.0
1983,7.0,8.0,1.0,2.0,14.0,6.0,0.0,19.0,1.0,4.0,0.0,1.0,8.0,3.0,0.0,8.0,5.0,0.0,0.0,6.0,0.0,0.0
1984,17.0,11.0,1.0,2.0,20.0,10.0,0.0,19.0,1.0,5.0,0.0,2.0,6.0,5.0,3.0,9.0,12.0,0.0,1.0,5.0,1.0,0.0
1985,16.0,18.0,1.0,2.0,29.0,7.0,0.0,23.0,4.0,6.0,0.0,0.0,9.0,3.0,6.0,16.0,8.0,0.0,2.0,5.0,1.0,1.0
1986,15.0,16.0,3.0,2.0,25.0,8.0,0.0,23.0,6.0,4.0,0.0,1.0,7.0,3.0,4.0,10.0,4.0,0.0,5.0,7.0,3.0,1.0
